% continuousInputs: true
% inputNoiseStandardDeviation: 0.1
% addNoisyOutputs: false
% inputNoiseProbability: 0.1
% outputNoiseProbability: 0.1
% generator type: class toolkit.SyntheticDataGenerator$TwoPartitionLimitedOutputsGenerator
% maxOutputVectorsPerInstance: 3
% resultRows: 10000
% Number of instances before adding noise (numInputsVectors): 20
% numOutputVectors = 20
% numInputVectors: 20
@RELATION 'synthetic: -c -6 '
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE class1 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class2 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class3 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class4 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class5 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class6 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@DATA
-2.039774019950209, 1.3170672063496578, 0.1768112420988582, m, j, p, p, q, t
1.1832992496448305, -0.1533408957574405, 0.8641382058892317, t, r, h, u, u, i
0.4626867269736787, -0.4229594873478082, -0.04838843230566331, o, l, j, e, u, i
1.8198423994928168, -1.1757641954442897, -0.2533408654236129, o, s, e, u, t, i
-0.43058821626072435, 0.1423442978433131, 1.0944524565883083, l, q, m, p, r, t
1.3977426635752797, -0.14385602129390426, 0.8395510198538767, j, r, q, u, u, i
-0.1438170021462818, -0.7063141468029462, 0.26407439756556844, r, f, p, e, q, t
-0.31911338570634445, 0.363467424028358, 1.130869041520141, m, j, p, p, r, t
0.6330547442112848, 0.42841945970942935, -0.47658087368922614, g, h, m, j, g, k
-1.026773205512772, -0.7392394973696831, 1.2602805688939658, h, s, s, i, m, m
0.6228637155563358, 0.29347990814440267, -0.5365480582725014, h, h, l, o, j, k
-1.1380579977680227, -0.9023929253853528, 1.272286724035314, h, s, s, i, m, m
-1.513019720057149, 0.15795578602018565, -1.4719876752813015, h, s, s, s, u, l
0.9666048090656729, -0.6036119408620243, 0.20547230979892345, l, q, m, r, u, l
-0.30961839218959974, 0.2081540149517648, 1.223958154650443, o, j, p, p, r, t
1.170776780574973, 1.5413875689736931, -0.3902273987150578, f, h, m, i, m, l
-1.9424076327416113, 1.2807967718524764, 0.2596892608092056, s, u, o, p, r, t
1.4215312186240239, -0.12488784837226652, 0.7347951129209317, j, r, q, u, u, i
-1.986653744019877, 1.2322102021692418, 0.030487107058566235, s, e, p, p, r, u
-0.26914567881968837, -0.9282252308367742, 0.28398509021286383, r, f, p, u, q, t
-0.6758850776514045, -0.16147446313014363, -0.2205738740464055, e, t, u, r, r, u
1.2850509227725135, -0.19463355145630698, 0.9447769785992947, t, r, h, u, u, i
0.6530435388892946, 0.41880391503163433, -0.28265769028576737, g, h, m, o, h, u
0.4723794532768779, -0.2700413332970958, 0.004268912353321677, o, l, j, u, u, j
0.4828675431823778, -0.42106822729806215, -0.2587843161293286, g, h, m, t, t, i
-0.5609354869479333, -0.045756000344180314, -0.16654571959332154, u, o, k, u, h, t
-0.23446851293094395, -0.848550967795435, 0.31560993928390474, r, f, p, t, p, t
0.9008680203369097, -0.42068804857583064, 0.2436456528844305, s, e, s, u, o, g
-0.36590538704238934, -2.552877316692831, -1.3722354026097032, t, r, h, o, o, t
1.2538074284442176, -0.11190743135599171, 0.9243312084021463, j, q, q, u, u, i
-1.1747734430522874, -0.7502599432331964, 1.2206724866853629, h, t, s, i, m, l
-0.47653115802313467, -0.12873861888091145, -0.2170577009893952, e, t, u, r, r, u
-0.412291751405566, -2.6254139568680768, -1.6845575523541891, u, o, k, o, o, u
0.20641364685393807, -1.3731462619141366, 0.2617399055285107, g, r, r, q, e, h
-0.2788259402374679, -0.8283796124336965, 0.23604892692208862, l, u, m, e, q, t
-0.3120307534934903, -0.8562070930125675, 0.4000279404112947, r, e, p, u, q, t
1.7075289009170218, -0.9512081179745634, -0.18008365367242027, o, u, l, u, u, i
1.0301146078563774, 1.5781127459443307, -0.30511631241042036, g, i, m, j, m, m
1.79124479472636, -1.1717904685598652, -0.20640700481473467, o, s, e, e, u, i
-1.092189854675215, -0.7008865682993807, 0.9421707111134726, s, e, s, i, m, m
