% inputNoiseStandardDeviation: 0.1
% numNoisyOutputColumns: 0
% outputNoiseProbability: 0.1
% generator type: class toolkit.SyntheticDataGenerator$LimitedOutputsGenerator
% maxOutputVectorsPerInput: 3
% resultRows: 2000
% Number of inputs before adding noise (numInputsVectors): 20
% numOutputVectors = 20
% numInputVectors: 20
@RELATION 'synthetic: -c -8 '

@ATTRIBUTE x1	NUMERIC
@ATTRIBUTE x2	NUMERIC
@ATTRIBUTE x3	NUMERIC
@ATTRIBUTE class1	{e, f, g, h, i, j, k, l}
@ATTRIBUTE class2	{e, f, g, h, i, j, k, l}
@ATTRIBUTE class3	{e, f, g, h, i, j, k, l}
@ATTRIBUTE class4	{e, f, g, h, i, j, k, l}
@ATTRIBUTE class5	{e, f, g, h, i, j, k, l}
@ATTRIBUTE class6	{e, f, g, h, i, j, k, l}
@ATTRIBUTE class7	{e, f, g, h, i, j, k, l}
@ATTRIBUTE class8	{e, f, g, h, i, j, k, l}

@DATA
0.5354546647358646,0.19748979742617415,0.6136815971058484,i,i,h,i,i,h,k,j
-0.6081642878379631,0.29475127477618424,1.9197621551715782,l,f,j,g,l,h,i,f
-0.3514500585758424,0.6608643690020768,0.9750839568552555,f,j,e,h,i,l,g,j
1.2491645208601803,0.4606152813862476,-0.8881394772929959,k,h,l,h,h,k,i,e
-0.06398875924503843,-0.9583617950287349,-0.11918277981372596,l,i,h,k,f,h,l,l
0.8746678849097949,1.5595581137348724,-0.6987215138939349,i,i,h,i,i,h,k,j
-0.19685861046514902,-0.9698047465237863,-0.2674074142690676,l,i,h,k,f,h,l,l
-0.7524956795992359,0.8920845678242453,-1.5267106353858775,i,i,h,j,i,h,k,j
-0.10607416959650229,0.5939637053370748,1.0572931692626761,e,j,e,h,j,l,f,j
0.48749504778174885,-0.1779680488742624,1.6450583329804103,g,i,i,f,g,f,k,j
-0.11243851481582393,1.1505263744742016,1.0773554922081554,l,f,j,f,e,h,i,f
0.011006655404660351,1.2313263389318676,0.9517504776963153,l,e,j,f,l,h,i,f
0.048096443275800996,1.1503490605856765,1.1576272436558586,l,f,j,e,l,i,i,f
-0.16864938767598886,0.15969031671248157,-0.851001842005024,i,j,i,j,j,k,l,f
-1.4409845431011736,0.21991597135050364,-0.6272362362521764,i,f,k,g,h,i,k,f
0.0449934940716407,-0.9512576454402502,-0.35035404250303426,l,i,h,k,g,h,l,l
0.6155520775616476,-0.004306283359768348,0.5933779181977734,i,f,k,g,h,i,k,f
-0.08606661718729686,-1.0598496016154646,-0.18004979854529735,l,i,h,k,f,h,k,l
1.1538303858029721,1.525232891092007,-1.9934464930250582,l,f,j,f,l,h,i,f
1.4877040257199452,0.4445556128354808,-0.6631486514302334,l,f,j,f,l,h,i,g
-0.2043104628292488,-0.8814234039844958,-0.42450348463512455,l,i,h,j,f,h,l,l
0.720430511864047,-0.20024094033088874,1.5728770186926853,k,j,h,j,g,k,k,e
1.2408932604295224,-1.0753568113487926,-1.155129681794313,e,l,h,j,j,k,i,e
-0.10284626594031905,-0.08250720058039587,-0.7424036555284871,i,i,j,j,j,k,l,f
-1.3031665850932497,0.11052537721705571,-0.4551469158430997,g,l,k,i,k,f,i,k
-0.8571476943498845,0.7678707683394468,-1.3334194836483402,k,j,h,j,g,k,k,e
0.7411164850828582,-0.15616229094591447,1.5860277568478218,f,j,i,f,g,f,l,j
1.1499520329453894,-0.8583902904236954,-1.2939777300042234,e,l,h,j,j,k,i,e
-0.5074747317290864,0.23553861491397857,1.8712251825941701,l,f,j,f,l,h,i,f
0.5557857128091188,-0.3668445769397398,1.3920405218256267,k,j,h,j,g,k,k,e
0.5915191574182066,0.0031189775623595706,0.5581493160650624,i,f,k,g,h,i,k,f
-0.7235840773260028,0.8326541883226037,-1.3171220551562761,i,i,h,j,i,h,k,j
-0.5916135817997098,0.5464131536947195,-1.6712188141148518,i,i,h,j,i,h,k,i
-0.13975319569055428,0.11117993146616685,-0.6885754572797662,f,f,i,f,g,j,e,l
0.7276623106347591,-0.07510364870747735,0.3995741879902178,h,i,g,j,i,h,k,j
0.4195807141412383,0.6289768021205138,-0.7423317647506881,f,l,k,j,k,f,i,k
-0.5934958838288498,1.3755790872907114,0.4840514492757123,e,j,i,l,f,i,i,e
0.441771194085522,-0.18711870691436092,1.6371184133888421,k,j,h,j,g,k,k,e
1.0032350710624351,-1.02334907492584,-1.4200451113023544,e,l,h,j,j,k,i,e
-0.026657015001506495,-1.129895516126453,-0.31415092869635297,l,i,h,l,f,i,l,l
0.38724683965874196,0.4914185645895707,-0.7813357755974922,g,l,k,i,k,f,i,k
1.3221148029953458,1.5448262798537848,-2.026198009216033,l,f,j,f,l,h,h,f
-0.06952555196685048,1.155499927138548,1.165572768798698,l,f,j,e,l,h,j,f
0.5170314869505984,0.41972231766117785,-0.9655521801403707,g,l,k,h,k,f,i,k
0.7426361854067587,0.39557933304143866,-0.7535567461709268,g,k,k,h,k,f,i,k
1.2286655225345138,1.5022886960853057,-2.077370920754376,f,e,k,h,k,e,e,l
1.1583917455699302,-0.9823410914884252,-1.4099315131469399,e,l,h,j,j,k,j,e
0.48036328050090343,-0.18145567319358594,1.5989954543181013,k,j,h,j,g,k,j,e
1.280156966941711,0.47221847662396993,-0.5530867308746327,l,f,j,f,l,h,i,f
0.7183435744377413,0.23226677004402724,0.4075525615650235,i,f,k,g,h,i,k,f
0.018281337506219658,0.6025981730460082,0.7526658881321479,e,j,e,h,j,l,f,j
-0.10435035520427213,0.8230560760859499,0.32813331601977636,l,f,k,f,l,h,i,f
1.300307602939392,1.6246575691026224,-1.9745284523350746,e,e,k,h,k,e,l,l
0.8377936331261351,0.5014644204774311,-0.9175064206725665,g,l,k,h,k,f,i,k
-1.4692977121119708,0.1563529902851633,1.734077034083688,e,e,k,h,k,e,l,l
-0.17356746382523108,1.0408088038987886,0.018023233425216362,l,f,j,f,l,h,i,f
-0.2936481633330689,0.736433287891338,0.14475079746858555,l,f,j,f,l,h,i,f
-1.4208667827726082,0.2570635112787478,1.823021399560356,i,g,h,g,j,e,i,e
-0.46344096707268945,1.3467703499807209,1.2955098664832472,e,l,h,j,j,k,h,e
-1.247328363968284,0.1443966919643724,1.7955933288376922,e,e,k,h,k,e,l,l
-0.4537710116511542,1.4330523836207136,1.3830702622247253,e,l,h,j,j,k,i,e
-0.7049233313553728,1.4047690111602467,0.3217330804219553,f,f,h,f,h,j,f,l
1.1481886750334576,0.48943879360808196,-0.7987832725054339,k,h,l,h,h,k,i,e
1.3510972105903392,0.48304884867845294,-0.6427923704192883,f,f,i,f,h,j,f,l
-0.2882827266937598,0.2611979987424995,-0.7487865211785538,i,i,i,j,j,k,l,f
