% continuousInputs: true
% inputNoiseStandardDeviation: 0.1
% addNoisyOutputs: true
% numNoisyOutputColumns: 3
% inputNoiseProbability: 0.1
% outputNoiseProbability: 0.1
% generator type: class toolkit.SyntheticDataGenerator$LimitedOutputsGenerator
% maxOutputVectorsPerInstance: 3
% resultRows: 10000
% Number of instances before adding noise (numInputsVectors): 20
% numOutputVectors = 20
% numInputVectors: 20
@RELATION 'synthetic: -c -6 '
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE noise1 {n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16}
@ATTRIBUTE noise2 {n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16}
@ATTRIBUTE noise3 {n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16}
@ATTRIBUTE class1 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class2 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class3 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@DATA
-0.5667980904602634, 0.4449066795132671, -0.5764493820185905, n9, n8, n8, f, o, p
-0.524162287360345, 0.340120254884433, -0.537459827002138, n8, n13, n14, f, o, p
-0.49532623132381337, -0.6733680061808517, -0.6224174805312908, n9, n13, n1, l, h, f
1.928020702499658, 1.0688428997558754, 0.12325436505372309, n5, n12, n15, j, t, g
-0.6090030461010013, -0.6693086466366792, -0.37483108053139197, n8, n10, n4, l, h, f
-1.9977582807271665, -0.11348066819756228, -2.0679496726768423, n15, n12, n11, e, f, s
-1.545576561553178, -1.114898118443278, -1.5930116262432723, n4, n4, n16, q, i, i
-0.8922519544981125, -0.3977914460810481, -1.432637359186622, n5, n2, n16, g, p, s
-1.4651324986122682, -0.8053395229423248, -1.5225709024706793, n3, n5, n11, q, i, i
1.340582556689158, 0.787654326936436, -0.11060473011789687, n12, n2, n5, l, o, f
0.11743769903727969, -0.058837285284242105, -1.1001919909268334, n7, n8, n10, u, p, f
-0.5164062427365972, -0.5946483820904475, -0.5803995274007537, n4, n13, n13, f, o, p
1.5133792226398315, 0.6172750345973109, -0.2037584390664122, n2, n16, n8, r, u, s
0.20908651496159247, -0.19830362911499153, -1.2092826345302543, n12, n12, n2, j, m, u
1.0526996588447486, 0.06174306436275838, 0.46753458955959415, n1, n6, n9, e, g, s
1.4521614829195517, 0.6062669001710834, -0.08832922232115026, n16, n1, n1, e, g, s
-1.0606838792394868, 1.8793756613995767, 0.7589712107688927, n1, n6, n2, k, r, l
-1.0775054168660247, -1.3964817461568013, 0.3367196967096962, n9, n8, n7, j, m, u
-0.5975713554439586, 0.20233375056171732, -0.549032168282895, n10, n9, n15, o, q, p
1.6450101032739959, 1.0927335712895618, 0.17870451791283803, n4, n16, n3, j, s, g
-1.8056523815023382, -0.36472138202434634, -2.073599807873168, n12, n14, n8, j, s, f
-0.7923650783777899, 0.32920063460955834, 0.7590811341846102, n8, n11, n12, f, m, p
-1.1978412358413273, 0.6769137483099203, -1.239549156170347, n13, n8, n14, e, m, g
-1.001780202152179, -1.392857031467182, 0.22422648214908797, n2, n10, n2, j, m, u
-0.03328995986766892, -1.149336940621647, -0.08372188601879337, n14, n9, n14, l, o, f
1.3218544249128188, 0.6678091121692942, -0.05886466455080629, n13, n11, n2, r, u, s
0.09348587660472195, -0.08171125048373665, -1.0585847957659857, n9, n7, n1, u, o, f
-1.371977453219776, 0.9304469493787907, -1.2803542184502295, n4, n8, n15, f, m, g
-1.0466970950661756, -1.5120489462538855, 0.27154660972109124, n4, n10, n13, j, m, u
-0.9312654136007272, 0.5229310016455854, 0.6933745540084423, n15, n4, n13, f, o, p
-1.0881332130573096, 1.8694361243117663, 0.8291652140777663, n5, n13, n16, k, s, l
-1.137675313926008, -0.8653969817140416, 0.3753184043397714, n8, n5, n12, l, h, f
-0.4114120030301887, 0.14801130182403208, -0.17956434011865674, n1, n14, n11, r, k, o
-0.4675776063484141, 0.5619205003928507, -0.5621109795709086, n14, n10, n7, o, q, p
0.884453720718331, 0.033736009197040395, 0.45680752509537953, n16, n7, n4, e, g, s
0.046912328587355015, -0.10709657787843485, -1.1555755038176638, n3, n8, n16, u, p, f
-2.0221389319925898, -0.1836387090962125, -1.9672296360162886, n14, n2, n13, e, g, s
1.8709455937975803, 1.1587612284042248, 0.0031387503297988645, n12, n16, n5, j, s, g
0.8373014309626399, 0.13841762743592842, 0.5586018547702271, n13, n8, n9, e, g, s
-1.0936381213156863, -1.1404737990982046, 0.4051207073406867, n5, n9, n12, l, h, f
1.505738194801396, 0.7379005504998304, -0.24067818192716048, n1, n1, n9, l, o, f
0.9621317676092573, 0.6366765334519557, -2.1300178300780828, n15, n4, n14, r, u, s
-1.0478270051790959, 1.9127200946467333, 0.8878638497393123, n9, n1, n14, k, r, l
-0.981687930711535, -1.1561050079737667, 0.1446310864190646, n16, n4, n10, l, g, f
-0.44131090506071324, 0.13386798802196406, -0.16081438836755646, n16, n5, n6, r, k, o
0.13413652889737238, -1.0578401777459, 1.9351576736196636, n2, n5, n13, g, m, o
